1,additional_work_5,Do you think that the #{function_policy_substitution} could have a role in making sure that #{wordings[strand]} were treated equally and fairly?,This question asks you to assess whether the #{function_policy_substitution} could have a role in promoting equality of opportunity for #{wordings[strand]}.<br/><br/> There will be a minority of #{function_policy_substitution}s that are intended to eliminate equality of opportunity as their primary purpose and some #{function_policy_substitution}s which might have a secondary role in promoting equality.
2,additional_work_age_1,Do you need any more information to complete the assessment?,This question asks you to reflect upon whether you think that you need further information to obtain a comprehensive view of the impact of the #{function_policy_substitution}.<br/><br/> The Impact section asked you to identify existing information to assess the impact of the #{function_policy_substitution} on #{wordings[strand]}.<br/><br/> The Consultation section asked you to who had been consulted about the impact of the #{function_policy_substitution}. <br/><br/> Even with these two sources of information you may feel that there is additional information required such as further data collection and analysis of further consultation.
3,impact_age_1,Describe how the #{function_policy_substitution} meets the needs of #{wordings[strand]}?,"This question asks you to assess how the #{function_policy_substitution} meets the particular needs of #{wordings[strand]}.<br/><br/> If the #{function_policy_substitution} is not meeting the needs of any #{wordings[strand]} effectively purely because of their #{descriptive_term[strand]} then this should be noted.  Again if the #{function_policy_substitution} is meeting the needs of any #{wordings[strand]} effectively then it should be noted.  If the #{function_policy_substitution} has no role, positive or negative, in meeting the needs of any #{wordings[strand]} effectively then it should be noted. "
4,consultation_age_1,Have you obtained the views of #{wordings[strand]} on the impact of the #{function_policy_substitution}?,"This question asks whether any individuals representing the interests of #{wordings[strand]} have been consulted on the impact of the #{function_policy_substitution}.<br/><br/> #{data[""extra_strand_wordings""][""consultation""][1][strand]} The consultation may have been arranged specifically for this particular #{function_policy_substitution} or for part of a wider consultation process.<br/><br/> The available answers to this question are:<br/> <ul><li>Yes</li> <li>No</li> </ul><br/>"
5,impact_age_10,Please give more information about the contradictory evidence.,This question asks you to record the details of the contradictory evidence.<br/><br/>
6,additional_work_age_10,Please explain how individuals may be impacted.,"Please explain how the #{function_policy_substitution} may prevent #{wordings[strand]} being treated differently, in an unfair or inappropriate way, just because of their #{sentence_desc(strand)}?  For example an activity with the impact of encouraging participation and access for #{wordings[strand]} would prevent them being treated unfairly. "
7,additional_work_age_11,Please explain how.,Please explain how the #{function_policy_substitution} may foster good relations between people who share the relevant characteric and those who do not.    For example an activity with the impact of encouraging participation of #{wordings[strand]} in activities they might not otherwise access could foster good relations. 
8,consultation_age_2,"If not, why not?",This question asks why groups have not been consulted on the impact of the #{function_policy_substitution}.<br/><br/> The available answers to this question are:<ul> <li>No relevant individuals identified.  This would be the correct answer if it had been decided that there were no suitable groups representing the interests of #{wordings[strand]} to consult with.</li> <li>There are plans to consult relevant individuals.  This would be the correct answer if the consultation was planned but had not yet taken place.</li> <li>There are no plans to consult relevant individuals.  There may be reasons why the Council had decided not to consult on the impact of the #{function_policy_substitution}.</li></ul>
9,impact_age_2,Do you have evidence to support the assessment?,"This question asks you whether you have any information to support your assessment of the impact of the #{function_policy_substitution} that you recorded in the previous question.<br/><br/> The information could take a wide variety of forms from regular performance management information, evaluation work, surveys, academic publications and audit reports.<br/><br/> The available answers are:<br/> <ul><li>Yes</li> <li>No</li> </ul> If you have not got information to support the assessment of impact you might like to think on what basis you made the assessment."
10,additional_work_age_2,Please explain what information you need.,"A brief description of the nature of the information, source and timescales for collection will be sufficient."
